config,arm,seed,participation_rate,basin,mean_ci_width,n_alpha_plus_beta,applied_evidence,all_scores_half,total_ratings_last_ep,rating_actions,total_actions,applied_per_agent_step,n_agents,rho_defined
c1,A,0,0.15935,honest-dominant,0.2807594265365379,27.1441112912962,23.1441112912962,0,321,6374,40000,0.1605,20,1
c1,A,1,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c1,A,2,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c1,A,3,0.37375,honest-dominant,0.2091617919945882,50.0407613287717,46.0407613287717,0,668,14950,40000,0.334,20,1
c1,A,4,0.633375,honest-dominant,0.09071796395072029,256.29046623340867,252.29046623340867,0,1394,25335,40000,0.697,20,1
c1,A,5,0.05275,honest-dominant,0.37183075566861123,16.637600775859653,12.637600775859653,0,88,2110,40000,0.044,20,1
c1,A,6,0.698775,honest-dominant,0.17290474243819148,105.38586989200118,101.38586989200118,0,1408,27951,40000,0.704,20,1
c1,A,7,0.28025,honest-dominant,0.20180032808763598,62.20728053476317,58.20728053476317,0,641,11210,40000,0.3205,20,1
c1,A,8,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c1,A,9,0.125425,honest-dominant,0.31538692699579596,21.963528183804264,17.963528183804264,0,279,5017,40000,0.1395,20,1
c1,A,10,0.0437,honest-dominant,0.4684285368129215,10.604740085084039,6.604740085084039,0,93,1748,40000,0.0465,20,1
c1,A,11,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c1,A,12,0.0824,honest-dominant,0.3262825019658015,20.77802025830778,16.77802025830778,0,136,3296,40000,0.068,20,1
c1,A,13,0.92325,honest-dominant,0.12199733048177124,223.3249712270614,219.3249712270614,0,1841,36930,40000,0.9205,20,1
c1,A,14,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c1,A,15,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c1,A,16,0.901375,honest-dominant,0.07722677527188013,344.24539585746254,340.24539585746254,0,1785,36055,40000,0.8925,20,1
c1,A,17,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c1,A,18,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c1,A,19,0.84,honest-dominant,0.1457115706707187,97.32141946611465,93.32141946611465,0,1680,33600,40000,0.84,20,1
c1,A,20,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c1,A,21,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c1,A,22,0.2069,honest-dominant,0.17583910034123296,63.94004416127768,59.94004416127768,0,423,8276,40000,0.2115,20,1
c1,A,23,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c1,A,24,0.064375,honest-dominant,0.38960620805628376,17.406006360929428,13.406006360929428,0,122,2575,40000,0.061,20,1
c1,A,25,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c1,A,26,0.79225,honest-dominant,0.15245584253893968,92.15937492893026,88.15937492893026,0,1553,31690,40000,0.7765,20,1
c1,A,27,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c1,A,28,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c1,A,29,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c1,B,0,0.65835,honest-dominant,0.0893330712129943,257.1261741711772,253.12617417117718,0,1314,26334,40000,0.657,20,1
c1,B,1,1.0,honest-dominant,0.1355744205177623,110.4194321855415,106.4194321855415,0,2000,40000,40000,1.0,20,1
c1,B,2,1.0,honest-dominant,0.13157882489788408,202.46212425080992,198.46212425080992,0,2000,40000,40000,1.0,20,1
c1,B,3,1.0,honest-dominant,0.13233581473680955,129.2575308448819,125.2575308448819,0,2000,40000,40000,1.0,20,1
c1,B,4,1.0,honest-dominant,0.12378144553173409,206.59124497249593,202.59124497249593,0,2000,40000,40000,1.0,20,1
c1,B,5,1.0,honest-dominant,0.10739842170148775,322.1350515307386,318.1350515307386,0,2000,40000,40000,1.0,20,1
c1,B,6,1.0,honest-dominant,0.1355744205177623,110.4194321855415,106.4194321855415,0,2000,40000,40000,1.0,20,1
c1,B,7,1.0,honest-dominant,0.11711086435810962,256.8367417539495,252.83674175394952,0,2000,40000,40000,1.0,20,1
c1,B,8,1.0,honest-dominant,0.16214610870548646,119.2690966745181,115.2690966745181,0,2000,40000,40000,1.0,20,1
c1,B,9,1.0,honest-dominant,0.07112738405741877,389.215753422146,385.215753422146,0,2000,40000,40000,1.0,20,1
