config,arm,seed,participation_rate,basin,honest_given_rating,attacks_attempted_stored,total_ratings_final_ep,mean_score_stored,attacks_attempted,attacks_blocked,hold_rate,rho_defined,rho_stored,rho_recomputed,rho_matches_stored,mae_stored,score_std,n_distinct_scores,qual_std,n_score_points,rescore_ok
c1,A,0,0.15935,honest-dominant,1.0,0,321,0.2136018312798215,0,0,,1,-0.751618885118032,-0.751618885118032,1,0.5646453058628488,0.12890977494877368,400,0.12266628813573002,400,1
c1,A,1,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c1,A,2,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c1,A,3,0.37375,honest-dominant,1.0,0,668,0.20238764456585084,0,0,,1,-0.8498582491140569,-0.8498582491140569,1,0.5885578023337842,0.13066329870780266,400,0.12266628813573002,400,1
c1,A,4,0.633375,honest-dominant,1.0,0,1394,0.8048823688121152,0,0,,1,0.9019906999418746,0.9019906999418746,1,0.04002511124724366,0.13085338501307395,400,0.12266628813573002,400,1
c1,A,5,0.05275,honest-dominant,1.0,0,88,0.7292929578304231,0,0,,1,0.5085760145914677,0.5085760145914677,1,0.12032909557542823,0.17282335113365363,393,0.12266628813573002,400,1
c1,A,6,0.698775,honest-dominant,1.0,0,1408,0.3261783393758434,0,0,,1,-0.7324183901149381,-0.7324183901149381,1,0.48868738375998183,0.09242362555676079,400,0.12266628813573002,400,1
c1,A,7,0.28025,honest-dominant,1.0,0,641,0.2599083636840495,0,0,,1,-0.8139397746235914,-0.8139397746235914,1,0.570095095564711,0.1334629858819574,400,0.12266628813573002,400,1
c1,A,8,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c1,A,9,0.125425,honest-dominant,1.0,0,279,0.21637112484048604,0,0,,1,-0.7305394408715055,-0.7305394408715055,1,0.5529327118225597,0.14108878644888034,400,0.12266628813573002,400,1
c1,A,10,0.0437,honest-dominant,1.0,0,93,0.305158715973643,0,0,,1,-0.46973422140309706,-0.46973422140309706,1,0.5015218221988644,0.1345932063774297,390,0.12266628813573002,400,1
c1,A,11,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c1,A,12,0.0824,honest-dominant,1.0,0,136,0.7618344243244162,0,0,,1,0.5861597884986781,0.5861597884986781,1,0.10031371436887097,0.15224167840151592,400,0.12266628813573002,400,1
c1,A,13,0.92325,honest-dominant,1.0,0,1841,0.340863863503579,0,0,,1,-0.562136763354771,-0.562136763354771,1,0.43777551457486846,0.1336130650114975,400,0.12266628813573002,400,1
c1,A,14,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c1,A,15,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c1,A,16,0.901375,honest-dominant,1.0,0,1785,0.8035666512327208,0,0,,1,0.9460367877299232,0.9460367877299232,1,0.03096529959244556,0.12895266256325955,400,0.12266628813573002,400,1
c1,A,17,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c1,A,18,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c1,A,19,0.84,honest-dominant,1.0,0,1680,0.19251695924500598,0,0,,1,-0.9084298651866572,-0.9084298651866572,1,0.5931777224402941,0.12711611037572804,400,0.12266628813573002,400,1
c1,A,20,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c1,A,21,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c1,A,22,0.2069,honest-dominant,1.0,0,423,0.7858527826209556,0,0,,1,0.8212258826617664,0.8212258826617664,1,0.05846255795145806,0.1410131605566093,400,0.12266628813573002,400,1
c1,A,23,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c1,A,24,0.064375,honest-dominant,1.0,0,122,0.38769766260313954,0,0,,1,-0.27604466277914236,-0.27604466277914236,1,0.4438250323141035,0.17118415147112753,400,0.12266628813573002,400,1
c1,A,25,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c1,A,26,0.79225,honest-dominant,1.0,0,1553,0.1968667526593682,0,0,,1,-0.9151412821330134,-0.9151412821330134,1,0.5911614892103725,0.1264937422502984,400,0.12266628813573002,400,1
c1,A,27,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c1,A,28,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c1,A,29,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c1,B,0,0.65835,honest-dominant,1.0,0,1314,0.8077917031065004,0,0,,1,0.9265212907580672,0.9265212907580672,1,0.0358063817995976,0.13244101140930792,400,0.12266628813573002,400,1
c1,B,1,1.0,honest-dominant,1.0,0,2000,0.188785809581536,0,0,,1,-0.924798904993156,-0.924798904993156,1,0.594403173909608,0.12775893499698046,400,0.12266628813573002,400,1
c1,B,2,1.0,honest-dominant,1.0,0,2000,0.6148875542233869,0,0,,1,0.573613710085688,0.573613710085688,1,0.20767797407401495,0.06574577355572771,400,0.12266628813573002,400,1
c1,B,3,1.0,honest-dominant,1.0,0,2000,0.21299745652556798,0,0,,1,-0.9146639041494008,-0.9146639041494008,1,0.577505070266893,0.12289754223348141,400,0.12266628813573002,400,1
c1,B,4,1.0,honest-dominant,1.0,0,2000,0.6713874159197082,0,0,,1,0.7549528434552715,0.7549528434552715,1,0.14537901191407118,0.08768746550067034,400,0.12266628813573002,400,1
c1,B,5,1.0,honest-dominant,1.0,0,2000,0.4675164104864241,0,0,,1,-0.26196688729304557,-0.26196688729304557,1,0.33340182150394554,0.055897053381079906,400,0.12266628813573002,400,1
c1,B,6,1.0,honest-dominant,1.0,0,2000,0.188785809581536,0,0,,1,-0.924798904993156,-0.924798904993156,1,0.594403173909608,0.12775893499698046,400,0.12266628813573002,400,1
c1,B,7,1.0,honest-dominant,1.0,0,2000,0.39743662405859503,0,0,,1,-0.5701830011437571,-0.5701830011437571,1,0.39801983898058796,0.06967754524430637,400,0.12266628813573002,400,1
c1,B,8,1.0,honest-dominant,1.0,0,2000,0.31574029577720325,0,0,,1,-0.7296932480828004,-0.7296932480828004,1,0.46651997012962165,0.08357490914733622,400,0.12266628813573002,400,1
c1,B,9,1.0,honest-dominant,1.0,0,2000,0.8130772100834565,0,0,,1,0.9397217482609265,0.9397217482609265,1,0.031216140618913996,0.1287636877321209,400,0.12266628813573002,400,1
c1,B,10,1.0,honest-dominant,1.0,0,2000,0.7731469550666243,0,0,,1,0.9145937787111168,0.9145937787111168,1,0.049224168341013105,0.11605893269700175,400,0.12266628813573002,400,1
c1,B,11,1.0,honest-dominant,1.0,0,2000,0.8130772100834565,0,0,,1,0.9397217482609265,0.9397217482609265,1,0.031216140618913996,0.1287636877321209,400,0.12266628813573002,400,1
c1,B,12,0.92,honest-dominant,1.0,0,1840,0.8106557411755541,0,0,,1,0.9344357152232201,0.9344357152232201,1,0.03249885906762411,0.12951819307673584,400,0.12266628813573002,400,1
c1,B,13,1.0,honest-dominant,1.0,0,2000,0.7927815991693363,0,0,,1,0.9304951905949412,0.9304951905949412,1,0.03770491018237305,0.12248064783106266,400,0.12266628813573002,400,1
c1,B,14,1.0,honest-dominant,1.0,0,2000,0.784554439312914,0,0,,1,0.9263540397127482,0.9263540397127482,1,0.045251659473407466,0.11879341855579444,400,0.12266628813573002,400,1
c1,B,15,1.0,honest-dominant,1.0,0,2000,0.6344962886837686,0,0,,1,0.6481906136913356,0.6481906136913356,1,0.17500902337645002,0.07382998940053309,400,0.12266628813573002,400,1
c1,B,16,1.0,honest-dominant,1.0,0,2000,0.8130772100834565,0,0,,1,0.9397217482609265,0.9397217482609265,1,0.031216140618913996,0.1287636877321209,400,0.12266628813573002,400,1
c1,B,17,1.0,honest-dominant,1.0,0,2000,0.188785809581536,0,0,,1,-0.924798904993156,-0.924798904993156,1,0.594403173909608,0.12775893499698046,400,0.12266628813573002,400,1
c1,B,18,1.0,honest-dominant,1.0,0,2000,0.8130772100834565,0,0,,1,0.9397217482609265,0.9397217482609265,1,0.031216140618913996,0.1287636877321209,400,0.12266628813573002,400,1
c1,B,19,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c1,B,20,0.94,honest-dominant,1.0,0,1880,0.20593525327550227,0,0,,1,-0.9277501734385838,-0.9277501734385838,1,0.5951365405487111,0.12545220114949823,400,0.12266628813573002,400,1
