config,arm,seed,rho,tau_a,score_std,collapsed
c1,A,0,-0.751618885118032,-0.548546365914787,0.12890977494877368,0
c1,A,1,,0.0,0.0,1
c1,A,2,,0.0,0.0,1
c1,A,3,-0.8498582491140569,-0.6571929824561403,0.13066329870780266,0
c1,A,4,0.9019906999418746,0.7323558897243108,0.13085338501307395,0
c1,A,5,0.5085760145914677,0.3545112781954887,0.17282335113365363,0
c1,A,6,-0.7324183901149381,-0.5450125313283208,0.09242362555676079,0
c1,A,7,-0.8139397746235914,-0.6262406015037594,0.1334629858819574,0
c1,A,8,,0.0,0.0,1
c1,A,9,-0.7305394408715055,-0.5363157894736842,0.14108878644888034,0
c1,A,10,-0.46973422140309706,-0.32649122807017544,0.1345932063774297,0
c1,A,11,,0.0,0.0,1
c1,A,12,0.5861597884986781,0.41268170426065165,0.15224167840151592,0
c1,A,13,-0.562136763354771,-0.42273182957393485,0.1336130650114975,0
c1,A,14,,0.0,0.0,1
c1,A,15,,0.0,0.0,1
c1,A,16,0.9460367877299232,0.7983709273182957,0.12895266256325955,0
c1,A,17,,0.0,0.0,1
c1,A,18,,0.0,0.0,1
c1,A,19,-0.9084298651866572,-0.7439849624060151,0.12711611037572804,0
c1,A,20,,0.0,0.0,1
c1,A,21,,0.0,0.0,1
c1,A,22,0.8212258826617664,0.6306015037593985,0.1410131605566093,0
c1,A,23,,0.0,0.0,1
c1,A,24,-0.27604466277914236,-0.1855639097744361,0.17118415147112753,0
c1,A,25,,0.0,0.0,1
c1,A,26,-0.9151412821330134,-0.7505513784461153,0.1264937422502984,0
c1,A,27,,0.0,0.0,1
c1,A,28,,0.0,0.0,1
c1,A,29,,0.0,0.0,1
c1,B,0,0.9265212907580672,0.7710776942355889,0.13244101140930792,0
c1,B,1,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
c1,B,2,0.573613710085688,0.40588972431077697,0.06574577355572771,0
c1,B,3,-0.9146639041494008,-0.7515037593984962,0.12289754223348141,0
c1,B,4,0.7549528434552715,0.5635087719298245,0.08768746550067034,0
c1,B,5,-0.26196688729304557,-0.17842105263157895,0.055897053381079906,0
c1,B,6,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
c1,B,7,-0.5701830011437571,-0.4012531328320802,0.06967754524430637,0
c1,B,8,-0.7296932480828004,-0.5404761904761904,0.08357490914733622,0
c1,B,9,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c1,B,10,0.9145937787111168,0.7476190476190476,0.11605893269700175,0
c1,B,11,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c1,B,12,0.9344357152232201,0.7837844611528823,0.12951819307673584,0
c1,B,13,0.9304951905949412,0.7745112781954887,0.12248064783106266,0
c1,B,14,0.9263540397127482,0.766265664160401,0.11879341855579444,0
c1,B,15,0.6481906136913356,0.46649122807017546,0.07382998940053309,0
c1,B,16,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c1,B,17,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
c1,B,18,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c1,B,19,,0.0,0.0,1
c1,B,20,-0.9277501734385838,-0.7722556390977443,0.12545220114949823,0
c1,B,21,-0.5523760148500928,-0.3890977443609023,0.06937994945876448,0
c1,B,22,0.9042508390677441,0.7330576441102757,0.11368498799276207,0
c1,B,23,-0.6282140513378209,-0.45481203007518795,0.07992362068947909,0
c1,B,24,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c1,B,25,-0.8960259126619541,-0.7212781954887219,0.11599935970679914,0
c1,B,26,0.5486308664429151,0.39110275689223056,0.06063855165364636,0
c1,B,27,0.9397693735585846,0.7925062656641604,0.12875240696491835,0
c1,B,28,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c1,B,29,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c10,A,0,,0.0,0.0,1
c10,A,1,-0.0099161869761686,-0.006516290726817042,0.1563580423467976,0
c10,A,2,-0.561039807482471,-0.38958646616541354,0.17861095212902808,0
c10,A,3,,0.0,0.0,1
c10,A,4,-0.03585491159319745,-0.02298245614035088,0.04509524918847893,0
c10,A,5,,0.0,0.0,1
c10,A,6,,0.0,0.0,1
c10,A,7,-0.03409877561734761,-0.021954887218045113,0.08447113927132904,0
c10,A,8,,0.0,0.0,1
c10,A,9,,0.0,0.0,1
c10,B,0,-0.30704779404871274,-0.20922305764411028,0.058080995577224,0
c10,B,1,-0.9241514634466464,-0.7598245614035087,0.12827727380237394,0
c10,B,2,0.7715121969512309,0.5788721804511279,0.08094121323056697,0
c10,B,3,0.8551737198357489,0.6690977443609023,0.09420195482507367,0
c10,B,4,-0.9324313276957981,-0.7772180451127819,0.1277760705116891,0
c10,B,5,0.9388697429358932,0.7910025062656642,0.12835090182809133,0
c10,B,6,-0.7676652354077212,-0.5770175438596491,0.08957950012232324,0
c10,B,7,-0.8999111244445277,-0.7290977443609022,0.11985446076881036,0
c10,B,8,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
c10,B,9,0.9388494928093299,0.7902756892230577,0.1288748625579143,0
c11,A,0,,0.0,0.0,1
c11,A,1,,0.0,0.0,1
c11,A,2,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c11,A,3,,0.0,0.0,1
c11,A,4,,0.0,0.0,1
c11,A,5,,0.0,0.0,1
c11,A,6,,0.0,0.0,1
c11,A,7,,0.0,0.0,1
c11,A,8,-0.8865241032756455,-0.7147368421052631,0.1279101835356454,0
c11,A,9,0.8482969268557928,0.6599498746867168,0.09877780557380669,0
c11,A,10,-0.7409382558640992,-0.5440100250626566,0.10256102221053442,0
c11,A,11,,0.0,0.0,1
c11,A,12,,0.0,0.0,1
c11,A,13,,0.0,0.0,1
c11,A,14,,0.0,0.0,1
c11,A,15,,0.0,0.0,1
c11,A,16,,0.0,0.0,1
c11,A,17,,0.0,0.0,1
c11,A,18,,0.0,0.0,1
c11,A,19,,0.0,0.0,1
c11,A,20,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
c11,A,21,-0.030927380796129975,-0.020275689223057645,0.044855667423624845,0
c11,A,22,0.924023025143907,0.7648370927318295,0.12427662914268743,0
c11,A,23,,0.0,0.0,1
c11,A,24,,0.0,0.0,1
c11,A,25,,0.0,0.0,1
c11,A,26,,0.0,0.0,1
c11,A,27,0.8799632497703109,0.70265664160401,0.13176391977159752,0
c11,A,28,,0.0,0.0,1
c11,A,29,,0.0,0.0,1
c11,B,0,-0.8729945812161325,-0.6880952380952381,0.10369031001069719,0
c11,B,1,0.9408566928543304,0.7959899749373434,0.1292284073963704,0
c11,B,2,-0.9134218963868523,-0.7474436090225564,0.12049068364842361,0
c11,B,3,0.5914478840492753,0.42120300751879697,0.06789000518833711,0
c11,B,4,-0.926234788967431,-0.7674185463659148,0.12599068862103768,0
c11,B,5,-0.08355089719310746,-0.05518796992481203,0.05445277194214802,0
c11,B,6,-0.611374946093413,-0.4281954887218045,0.06285209414538737,0
c11,B,7,0.4508291301820636,0.31047619047619046,0.07984917831300657,0
